5 3 A #3 = 0, #5 = 5
7 1 BBBBBABABAABAAAABAAAB #3 = 20, #5 = 0
7 2 BBBBBABABAABABAAAAABA #3 = 20, #5 = 0
7 2 BBBBBABABAABABAAABA #3 = 20, #5 = 0
7 4 BBBBBABABAABBA #3 = 18, #5 = 0
7 3 BBBBBABABAABBAAAAABA #3 = 20, #5 = 0
7 1 BBBBBABABABA #3 = 16, #5 = 0
7 1 BBBBBABABABAAAAAAABA #3 = 18, #5 = 0
7 1 BBBBBABABABAAAAABA #3 = 18, #5 = 0
7 1 BBBBBABABABAAAAABBA #3 = 20, #5 = 0
7 3 BBBBBABABABAABA #3 = 18, #5 = 0
7 2 BBBBBABABABAABAAAAABA #3 = 20, #5 = 0
7 1 BBBBBABABABAABAAABA #3 = 20, #5 = 0
7 2 BBBBBABABABAABAAABABA #3 = 22, #5 = 0
7 2 BBBBBABABABAABAABBA #3 = 22, #5 = 0
7 1 BBBBBABABABAABABAAABA #3 = 22, #5 = 0
7 2 BBBBBABABABAABBABA #3 = 22, #5 = 0
7 7 BBBBBBAAAAAAAABAAAAB #3 = 18, #5 = 0
7 6 BBBBBBBAAAAAAAAAAAAAB #3 = 16, #5 = 0
7 5 BBBBBBBAAAABA #3 = 16, #5 = 0
7 3 BBBBBBBAAAABAAAAAAAB #3 = 20, #5 = 0
7 4 BBBBBBBAAAABAAAAABA #3 = 18, #5 = 0
7 5 BBBBBBBAAABAAABA #3 = 18, #5 = 0
7 3 BBBBBBBAAABAAABAAAAB #3 = 22, #5 = 0
7 4 BBBBBBBAAABAAABABA #3 = 20, #5 = 0
7 4 BBBBBBBAAABAAABBAAAB #3 = 24, #5 = 0
7 5 BBBBBBBBAAAAAAAAAAAAB #3 = 18, #5 = 0
7 2 BBBBBBBBAAAAAABAAAAAB #3 = 20, #5 = 0
7 4 BBBBBBBBAAAABA #3 = 18, #5 = 0
7 3 BBBBBBBBAAAABAAAAAAAB #3 = 20, #5 = 0
7 2 BBBBBBBBAAAABAAAAAABA #3 = 20, #5 = 0
7 3 BBBBBBBBAAAABAAAAABA #3 = 20, #5 = 0
7 3 BBBBBBBBAAAABAAAABAAB #3 = 22, #5 = 0
7 1 BBBBBBBBAABA #3 = 18, #5 = 0
7 1 BBBBBBBBAABAAAAAABA #3 = 20, #5 = 0
7 4 BBBBBBBBAABAAABA #3 = 20, #5 = 0
7 3 BBBBBBBBAABAAABAAAAAB #3 = 22, #5 = 0
7 2 BBBBBBBBAABAAABAAAABA #3 = 22, #5 = 0
7 3 BBBBBBBBAABAAABAABA #3 = 22, #5 = 0
7 1 BBBBBBBBAABAAABABA #3 = 22, #5 = 0
7 3 BBBBBBBBAABAAABABAABA #3 = 24, #5 = 0
7 1 BBBBBBBBAABAAABBAAAAB #3 = 24, #5 = 0
7 3 BBBBBBBBAABAAABBAAAB #3 = 26, #5 = 0
